2020-04-10 13:28:49, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:29:04, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:29:19, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:29:34, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:29:49, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:30:04, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:30:19, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:30:34, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:30:49, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:31:04, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:31:19, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:31:34, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:31:49, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:32:04, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:32:19, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:32:34, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:32:49, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:33:04, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:33:19, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:33:34, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:33:49, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:34:04, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:34:19, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:34:34, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:34:49, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:35:04, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:35:19, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:35:34, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:35:49, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:36:04, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:36:19, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:36:34, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:36:49, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:37:04, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:37:19, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:37:34, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:37:49, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:38:04, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:38:19, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:38:34, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:38:49, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:39:04, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:39:19, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:39:34, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:39:49, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:40:05, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:40:20, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:40:35, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:40:50, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:41:05, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:41:20, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:41:35, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:41:50, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:42:05, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:42:20, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:42:35, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:42:50, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:43:05, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:43:20, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:43:35, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:43:50, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:44:05, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:44:20, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:44:35, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:44:50, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:45:05, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:45:20, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:45:35, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:45:50, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:46:05, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:46:20, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:46:35, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:46:50, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9070.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:47:05, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9023.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:47:20, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9023.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:47:35, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9023.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:47:50, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9023.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:48:05, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9023.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:48:20, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9023.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:48:35, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9023.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:48:50, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9023.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:49:05, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9023.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:49:20, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9023.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:49:35, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9023.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:49:50, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9023.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:50:05, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9023.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:50:20, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.72e-06, 	6479.41267165, 	2.72e-06, 	9023.0, 	0.000000%, 	0.350000%, 	-0.350000%
