2020-04-11 11:36:12, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01233497, 	89.42468364, 	0.01229, 	461423.9, 	0.365907%, 	0.190000%, 	0.175907%
2020-04-11 11:36:27, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01229, 	88817.1, 	0.244101%, 	0.190000%, 	0.054101%
2020-04-11 11:36:42, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01233497, 	89.42468364, 	0.01229, 	458408.1, 	0.365907%, 	0.190000%, 	0.175907%
2020-04-11 11:36:57, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01229, 	85432.4, 	0.244101%, 	0.190000%, 	0.054101%
2020-04-11 11:37:12, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01233497, 	89.42468364, 	0.01229, 	85432.4, 	0.365907%, 	0.190000%, 	0.175907%
2020-04-11 11:37:27, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01233497, 	89.42468364, 	0.01229, 	484021.8, 	0.365907%, 	0.190000%, 	0.175907%
2020-04-11 11:37:42, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01233495, 	89.42482864, 	0.01229, 	484021.8, 	0.365745%, 	0.190000%, 	0.175745%
2020-04-11 11:37:57, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01229, 	484021.8, 	0.244101%, 	0.190000%, 	0.054101%
2020-04-11 11:38:12, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232049, 	89.5297825, 	0.01229, 	484021.8, 	0.248088%, 	0.190000%, 	0.058088%
2020-04-11 11:38:27, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232049, 	89.5297825, 	0.01229, 	484011.0, 	0.248088%, 	0.190000%, 	0.058088%
2020-04-11 11:38:42, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01229, 	484011.0, 	0.244101%, 	0.190000%, 	0.054101%
2020-04-11 11:38:57, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01233493, 	89.42497363, 	0.01228, 	88817.1, 	0.447313%, 	0.190000%, 	0.257313%
2020-04-11 11:39:12, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01233492, 	89.42504613, 	0.01228, 	88817.1, 	0.447231%, 	0.190000%, 	0.257231%
2020-04-11 11:39:27, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01228, 	562817.1, 	0.325733%, 	0.190000%, 	0.135733%
2020-04-11 11:39:42, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01228, 	88817.1, 	0.325733%, 	0.190000%, 	0.135733%
2020-04-11 11:39:58, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01228, 	88817.1, 	0.325733%, 	0.190000%, 	0.135733%
2020-04-11 11:40:13, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232998, 	89.46087423, 	0.01228, 	24801.0, 	0.407003%, 	0.190000%, 	0.217003%
2020-04-11 11:40:28, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232997, 	89.46094678, 	0.01228, 	24801.0, 	0.406922%, 	0.190000%, 	0.216922%
2020-04-11 11:40:43, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01228, 	88817.1, 	0.325733%, 	0.190000%, 	0.135733%
2020-04-11 11:40:58, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01228, 	88817.1, 	0.325733%, 	0.190000%, 	0.135733%
2020-04-11 11:41:13, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232997, 	89.46094678, 	0.01228, 	88817.1, 	0.406922%, 	0.190000%, 	0.216922%
2020-04-11 11:41:28, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01233995, 	73828.0, 	0.01228, 	88817.1, 	0.488192%, 	0.190000%, 	0.298192%
2020-04-11 11:41:43, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01233995, 	73917.38859477, 	0.01228, 	461373.0, 	0.488192%, 	0.190000%, 	0.298192%
2020-04-11 11:41:58, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01228, 	461373.6, 	0.325733%, 	0.190000%, 	0.135733%
2020-04-11 11:42:13, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232997, 	89.46094678, 	0.01228, 	461373.6, 	0.406922%, 	0.190000%, 	0.216922%
2020-04-11 11:42:28, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01228, 	461373.6, 	0.325733%, 	0.190000%, 	0.135733%
2020-04-11 11:42:43, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232996, 	89.46101934, 	0.01227, 	107684.1, 	0.488672%, 	0.190000%, 	0.298672%
2020-04-11 11:42:58, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232996, 	89.46101934, 	0.01227, 	132485.1, 	0.488672%, 	0.190000%, 	0.298672%
2020-04-11 11:43:13, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01227, 	68469.0, 	0.407498%, 	0.190000%, 	0.217498%
2020-04-11 11:43:28, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232996, 	89.46101934, 	0.01227, 	132485.1, 	0.488672%, 	0.190000%, 	0.298672%
2020-04-11 11:43:43, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232996, 	89.46101934, 	0.01227, 	132485.1, 	0.488672%, 	0.190000%, 	0.298672%
2020-04-11 11:43:58, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01227, 	132485.1, 	0.407498%, 	0.190000%, 	0.217498%
2020-04-11 11:44:13, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232996, 	89.46101934, 	0.01227, 	88817.1, 	0.488672%, 	0.190000%, 	0.298672%
2020-04-11 11:44:28, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232819, 	89.47386356, 	0.01227, 	88817.1, 	0.474246%, 	0.190000%, 	0.284246%
2020-04-11 11:44:43, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01227, 	134254.1, 	0.407498%, 	0.190000%, 	0.217498%
2020-04-11 11:44:58, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01227, 	70238.0, 	0.407498%, 	0.190000%, 	0.217498%
2020-04-11 11:45:13, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232818, 	89.47393614, 	0.01227, 	70238.0, 	0.474165%, 	0.190000%, 	0.284165%
2020-04-11 11:45:28, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232818, 	89.47393614, 	0.01227, 	70238.0, 	0.474165%, 	0.190000%, 	0.284165%
2020-04-11 11:45:43, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232817, 	89.47400871, 	0.01227, 	392586.1, 	0.474083%, 	0.190000%, 	0.284083%
2020-04-11 11:45:58, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01227, 	399149.2, 	0.407498%, 	0.190000%, 	0.217498%
2020-04-11 11:46:13, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232816, 	89.47408129, 	0.01227, 	399149.2, 	0.474002%, 	0.190000%, 	0.284002%
2020-04-11 11:46:28, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232816, 	89.47408129, 	0.01227, 	481043.0, 	0.474002%, 	0.190000%, 	0.284002%
2020-04-11 11:46:43, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232816, 	89.47408129, 	0.01227, 	487604.6, 	0.474002%, 	0.190000%, 	0.284002%
2020-04-11 11:46:58, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232819, 	89.47386356, 	0.01227, 	487605.1, 	0.474246%, 	0.190000%, 	0.284246%
2020-04-11 11:47:13, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01227, 	487605.1, 	0.407498%, 	0.190000%, 	0.217498%
2020-04-11 11:47:28, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232249, 	89.51525138, 	0.01227, 	487605.1, 	0.427791%, 	0.190000%, 	0.237791%
2020-04-11 11:47:43, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232249, 	89.51525138, 	0.01227, 	487605.1, 	0.427791%, 	0.190000%, 	0.237791%
2020-04-11 11:47:58, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01226, 	539052.7, 	0.489396%, 	0.190000%, 	0.299396%
2020-04-11 11:48:13, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01226, 	525206.5, 	0.489396%, 	0.190000%, 	0.299396%
2020-04-11 11:48:28, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232124, 	89.52433278, 	0.01226, 	488817.1, 	0.499511%, 	0.190000%, 	0.309511%
2020-04-11 11:48:43, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01225, 	216151.0, 	0.571429%, 	0.190000%, 	0.381429%
2020-04-11 11:48:58, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01225, 	239969.2, 	0.571429%, 	0.190000%, 	0.381429%
2020-04-11 11:49:13, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0123203, 	89.5311632, 	0.01225, 	239969.2, 	0.573878%, 	0.190000%, 	0.383878%
2020-04-11 11:49:28, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0123203, 	89.5311632, 	0.01225, 	747078.0, 	0.573878%, 	0.190000%, 	0.383878%
2020-04-11 11:49:43, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232029, 	89.53123587, 	0.01224, 	346000.0, 	0.655964%, 	0.190000%, 	0.465964%
2020-04-11 11:49:58, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232029, 	89.53123587, 	0.01227, 	152473.0, 	0.409861%, 	0.190000%, 	0.219861%
2020-04-11 11:50:13, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01225, 	197202.5, 	0.571429%, 	0.190000%, 	0.381429%
2020-04-11 11:50:28, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01221999, 	84124.38625204, 	0.01225, 	479016.1, 	-0.244980%, 	0.190000%, 	-0.434980%
2020-04-11 14:30:51, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01243, 	54192.77519426, 	0.0124, 	139996.2, 	0.241935%, 	0.190000%, 	0.051935%
2020-04-11 14:31:06, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01243956, 	45726.29144714, 	0.0124, 	139996.2, 	0.319032%, 	0.190000%, 	0.129032%
2020-04-11 14:31:21, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01243001, 	82880.48638335, 	0.0124, 	204011.5, 	0.242016%, 	0.190000%, 	0.052016%
2020-04-11 14:31:36, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01243956, 	45417.03887418, 	0.0124, 	219151.2, 	0.319032%, 	0.190000%, 	0.129032%
2020-04-11 14:31:51, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01243956, 	45328.29800409, 	0.0124, 	155135.1, 	0.319032%, 	0.190000%, 	0.129032%
2020-04-11 14:32:06, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01243956, 	8015.8098462, 	0.0124, 	155135.1, 	0.319032%, 	0.190000%, 	0.129032%
2020-04-11 14:32:21, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01243957, 	3612.18118119, 	0.0124, 	148375.9, 	0.319113%, 	0.190000%, 	0.129113%
2020-04-11 14:32:36, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01243957, 	3700.8539239, 	0.0124, 	148375.9, 	0.319113%, 	0.190000%, 	0.129113%
2020-04-11 14:32:51, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01243966, 	88.67210117, 	0.0124, 	148375.9, 	0.319839%, 	0.190000%, 	0.129839%
2020-04-11 14:33:06, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01242713, 	804.77149631, 	0.0124, 	148375.9, 	0.218790%, 	0.190000%, 	0.028790%
2020-04-11 14:33:21, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01243955, 	42283.85329317, 	0.0124, 	148375.9, 	0.318952%, 	0.190000%, 	0.128952%
2020-04-11 14:33:36, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01243955, 	5821.96494401, 	0.0124, 	155138.2, 	0.318952%, 	0.190000%, 	0.128952%
2020-04-11 14:33:51, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01243955, 	5910.63782928, 	0.0124, 	155137.7, 	0.318952%, 	0.190000%, 	0.128952%
2020-04-11 14:34:06, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01243956, 	82570.28112449, 	0.0124, 	155137.7, 	0.319032%, 	0.190000%, 	0.129032%
2020-04-11 14:34:21, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01243956, 	40056.2841706, 	0.0124, 	148375.9, 	0.319032%, 	0.190000%, 	0.129032%
2020-04-11 14:34:36, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01243956, 	4893.20216616, 	0.0124, 	148375.9, 	0.319032%, 	0.190000%, 	0.129032%
2020-04-11 14:34:51, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01243956, 	4804.52935217, 	0.0124, 	219140.7, 	0.319032%, 	0.190000%, 	0.129032%
2020-04-11 14:35:06, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01242, 	83148.65674145, 	0.0124, 	212929.7, 	0.161290%, 	0.190000%, 	-0.028710%
2020-04-11 15:00:43, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01228896, 	89.75949063, 	0.01222, 	222856.4, 	0.564321%, 	0.190000%, 	0.374321%
2020-04-11 15:00:58, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01228896, 	89.75949063, 	0.01222, 	229651.1, 	0.564321%, 	0.190000%, 	0.374321%
2020-04-11 15:01:13, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01228896, 	89.75949063, 	0.01225, 	64016.1, 	0.318041%, 	0.190000%, 	0.128041%
2020-04-11 15:01:28, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01228897, 	6144.94261857, 	0.01225, 	457811.8, 	0.318122%, 	0.190000%, 	0.128122%
2020-04-11 15:01:43, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01228896, 	89.75949063, 	0.01225, 	457811.8, 	0.318041%, 	0.190000%, 	0.128041%
2020-04-11 15:01:58, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01228896, 	83742.01024883, 	0.01227, 	230785.3, 	0.154523%, 	0.190000%, 	-0.035477%
2020-04-11 15:37:19, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01212857, 	987.06007415, 	0.01208, 	43668.0, 	0.402070%, 	0.190000%, 	0.212070%
2020-04-11 15:37:34, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01212864, 	257.37843324, 	0.01208, 	64016.1, 	0.402649%, 	0.190000%, 	0.212649%
2020-04-11 15:37:49, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01212849, 	4160.18195523, 	0.01207, 	7141.1, 	0.484590%, 	0.190000%, 	0.294590%
2020-04-11 15:38:04, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01212861, 	4160.18195523, 	0.01207, 	7141.1, 	0.485584%, 	0.190000%, 	0.295584%
2020-04-11 15:38:19, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01212865, 	4160.18538527, 	0.01208, 	107684.1, 	0.402732%, 	0.190000%, 	0.212732%
2020-04-11 15:38:34, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01212878, 	257.29437856, 	0.01209, 	77090.5, 	0.320761%, 	0.190000%, 	0.130761%
2020-04-11 15:38:49, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01212889, 	3206.34054606, 	0.01209, 	71153.2, 	0.321671%, 	0.190000%, 	0.131671%
2020-04-11 15:39:04, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01213836, 	84538.98702885, 	0.0121, 	58837.4, 	0.317025%, 	0.190000%, 	0.127025%
2020-04-11 15:39:19, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01213837, 	173.02210487, 	0.0121, 	121188.9, 	0.317107%, 	0.190000%, 	0.127107%
2020-04-11 15:39:34, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01213837, 	173.02210487, 	0.0121, 	63287.3, 	0.317107%, 	0.190000%, 	0.127107%
2020-04-11 15:39:49, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0121986, 	83853.81702085, 	0.01216, 	71133.3, 	0.317434%, 	0.190000%, 	0.127434%
2020-04-11 15:40:04, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0121986, 	83853.81702085, 	0.01216, 	71133.3, 	0.317434%, 	0.190000%, 	0.127434%
2020-04-11 15:40:19, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01217852, 	83853.81702085, 	0.01215, 	169178.8, 	0.234733%, 	0.190000%, 	0.044733%
2020-04-11 15:40:34, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01217852, 	83853.81702085, 	0.01215, 	64016.1, 	0.234733%, 	0.190000%, 	0.044733%
2020-04-11 15:40:49, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0121986, 	83853.81702085, 	0.01216, 	78157.1, 	0.317434%, 	0.190000%, 	0.127434%
2020-04-11 15:41:04, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0121986, 	83853.81702085, 	0.01216, 	78158.8, 	0.317434%, 	0.190000%, 	0.127434%
2020-04-11 15:41:19, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0121986, 	83853.81702085, 	0.01216, 	7030.6, 	0.317434%, 	0.190000%, 	0.127434%
2020-04-11 15:41:34, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0121986, 	83853.81702085, 	0.01216, 	7030.6, 	0.317434%, 	0.190000%, 	0.127434%
2020-04-11 15:41:49, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0121986, 	83853.81702085, 	0.01216, 	7030.6, 	0.317434%, 	0.190000%, 	0.127434%
2020-04-11 15:42:04, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0121986, 	82827.07833121, 	0.01216, 	105069.5, 	0.317434%, 	0.190000%, 	0.127434%
2020-04-11 15:42:19, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0121986, 	82827.07833121, 	0.01216, 	159075.1, 	0.317434%, 	0.190000%, 	0.127434%
2020-04-11 15:42:34, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0121986, 	82827.07833121, 	0.01216, 	259075.1, 	0.317434%, 	0.190000%, 	0.127434%
2020-04-11 15:42:49, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01241138, 	13278.97350093, 	0.01216, 	138879.5, 	2.067270%, 	0.190000%, 	1.877270%
2020-04-11 15:43:04, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01217896, 	48813.43005604, 	0.01215, 	159075.1, 	0.238354%, 	0.190000%, 	0.048354%
2020-04-11 15:43:19, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01219883, 	979.89280223, 	0.01216, 	146004.7, 	0.319326%, 	0.190000%, 	0.129326%
2020-04-11 15:43:34, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01219949, 	41520.86613559, 	0.01216, 	146004.7, 	0.324753%, 	0.190000%, 	0.134753%
2020-04-11 15:43:49, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01220026, 	41520.8321007, 	0.01216, 	138879.5, 	0.331086%, 	0.190000%, 	0.141086%
2020-04-11 15:44:04, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01220081, 	41520.8321007, 	0.01216, 	138879.5, 	0.335609%, 	0.190000%, 	0.145609%
2020-04-11 15:44:19, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01220147, 	41520.8321007, 	0.01216, 	146021.9, 	0.341036%, 	0.190000%, 	0.151036%
2020-04-11 15:44:34, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0122018, 	6535.37898735, 	0.01215, 	392163.3, 	0.426337%, 	0.190000%, 	0.236337%
2020-04-11 15:44:49, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0122018, 	11839.20263174, 	0.01215, 	392164.6, 	0.426337%, 	0.190000%, 	0.236337%
2020-04-11 15:45:04, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01217975, 	40854.11474312, 	0.01214, 	110421.7, 	0.327430%, 	0.190000%, 	0.137430%
2020-04-11 15:45:19, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01218052, 	980.6466905, 	0.01214, 	110421.7, 	0.333773%, 	0.190000%, 	0.143773%
2020-04-11 15:45:34, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01218096, 	8100.39947479, 	0.01213, 	497016.1, 	0.420115%, 	0.190000%, 	0.230115%
2020-04-11 15:45:49, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0121484, 	84269.20239363, 	0.01212, 	514016.1, 	0.234323%, 	0.190000%, 	0.044323%
2020-04-11 15:46:04, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01214841, 	147.17980736, 	0.01211, 	75905.1, 	0.317176%, 	0.190000%, 	0.127176%
2020-04-11 15:46:19, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01217428, 	100.0, 	0.01211, 	358016.1, 	0.530801%, 	0.190000%, 	0.340801%
2020-04-11 15:46:34, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0121484, 	55882.9699889, 	0.01211, 	358016.1, 	0.317093%, 	0.190000%, 	0.127093%
2020-04-11 15:46:49, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01215844, 	83642.31357242, 	0.01212, 	406016.1, 	0.317162%, 	0.190000%, 	0.127162%
2020-04-11 15:47:04, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01214253, 	108130.35846727, 	0.01212, 	498010.2, 	0.185891%, 	0.190000%, 	-0.004109%
